,Year,Aiport,Flights,Cancelled_flights,Flight_Nan,Flight_Nan_and_delay,Flight_non_nan
0,2012,Atlanta,389756,2259,332941,76578,56815
1,2012,Chicago,1195574,15396,966244,265377,229330
2,2012,Dallas,657242,7239,541758,130472,115484
3,2012,Denver,890953,9239,729709,199889,161244
4,2012,LA,1416163,17711,1145481,316376,270682
5,2012,JFK,1511687,19302,1223040,333277,288647
6,2013,Atlanta,395962,2916,323122,89640,72840
7,2013,Chicago,1196426,21915,913954,297800,282472
8,2013,Dallas,675239,10066,535353,165491,139886
9,2013,Denver,899142,12760,701107,230475,198035
10,2013,LA,1418806,24356,1095014,350316,323792
11,2013,JFK,1528123,26318,1178482,370804,349641
12,2014,Atlanta,363802,5977,296904,88992,66898
13,2014,Chicago,1129928,29401,847984,264451,281944
14,2014,Dallas,635281,12807,498430,145827,136851
15,2014,Denver,856346,15947,659696,204120,196650
16,2014,LA,1349367,31894,1021645,316177,327722
17,2014,JFK,1447608,34213,1096816,334016,350792
18,2015,Atlanta,376836,2588,317428,84782,59408
19,2015,Chicago,1147737,20009,919187,257717,228550
20,2015,Dallas,630764,9255,518118,137994,112646
21,2015,Denver,842799,11411,684562,191836,158237
22,2015,LA,1357899,22248,1086582,306921,271317
23,2015,JFK,1458060,24201,1165222,327146,292838
24,2016,Atlanta,382129,2246,326193,77503,55936
25,2016,Chicago,1038975,11667,849284,207738,189691
26,2016,Dallas,575889,4535,479031,111667,96858
27,2016,Denver,798853,7707,661982,159077,136871
28,2016,LA,1250059,13566,1013040,260655,237019
29,2016,JFK,1346601,14775,1088447,280259,258154
30,2017,Atlanta,359236,5419,299231,74113,60005
31,2017,Chicago,1023004,12484,829952,190969,193052
32,2017,Dallas,538576,7287,441201,105636,97375
33,2017,Denver,760263,8765,621512,150301,138751
34,2017,LA,1235194,14591,994588,238482,240606
35,2017,JFK,1327572,16667,1064188,254119,263384
36,2018,Atlanta,387502,2544,323458,82428,64044
37,2018,Chicago,1221645,16640,968547,220421,253098
38,2018,Dallas,661435,7909,535496,127602,125939
39,2018,Denver,895829,9504,723510,175586,172319
40,2018,LA,1441019,18537,1150573,265387,290446
41,2018,JFK,1567236,21972,1250758,285631,316478
42,2019,Atlanta,392603,2406,331084,78029,61519
43,2019,Chicago,1265272,25713,993189,235205,272083
44,2019,Dallas,689052,10301,557767,130985,131285
45,2019,Denver,936227,15152,748527,186844,187700
46,2019,LA,1482392,28545,1172780,285368,309612
47,2019,JFK,1607501,30581,1272728,305430,334773
48,2020,Atlanta,243342,11982,221680,29581,21662
49,2020,Chicago,822703,46621,732541,102820,90162
50,2020,Dallas,457308,23837,406428,58065,50880
51,2020,Denver,644790,34895,574481,85126,70309
52,2020,LA,940555,52937,840876,118305,99679
53,2020,JFK,994119,56467,889237,124161,104882
54,2021,Atlanta,311206,2093,269521,59968,41685
55,2021,Chicago,1074572,21370,876415,220299,198157
56,2021,Dallas,582616,11101,485333,112635,97283
57,2021,Denver,838265,16724,683433,178993,154832
58,2021,LA,1246713,23547,1019359,256854,227354
59,2021,JFK,1328306,24611,1086965,272208,241341
60,2022,Atlanta,312944,4982,256417,67253,56527
61,2022,Chicago,1099600,27072,858367,239477,241233
62,2022,Dallas,581738,12896,461952,113255,119786
63,2022,Denver,846196,19905,657991,192879,188205
64,2022,LA,1287923,29905,1013600,279100,274323
65,2022,JFK,1419630,34779,1110943,303755,308687
