,ID,Name,N_from,N_from_2023,N_to,N_to_2023,delay_frac_from,delay_frac_from_2023,delay_frac_to,delay_frac_to_2023
16,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3581462,220762,3578947,220591,0.17583517569082124,0.23623177901994002,0.14354250007055147,0.19685753271892326
205,13930,"Chicago, IL: Chicago O'Hare International",2761293,169754,2756136,169514,0.2222136513582586,0.21618930923571758,0.18688772977821125,0.19411376051535567
78,11298,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2467764,183321,2464525,183234,0.21332550438372552,0.25530081114547704,0.17455939785557054,0.21780892192497026
77,11292,"Denver, CO: Denver International",2267422,186030,2264944,185810,0.22424938983568124,0.29757565983981077,0.18114708354820253,0.2304666056724611
152,12892,"Los Angeles, CA: Los Angeles International",2048954,128293,2047834,128205,0.19079149653920977,0.2040329558120864,0.18358958782791965,0.21874341874341874
214,14107,"Phoenix, AZ: Phoenix Sky Harbor International",1610117,114082,1607042,113992,0.1781386073185986,0.2172647744604758,0.16549474126998548,0.2135500736893817
248,14771,"San Francisco, CA: San Francisco International",1553296,88852,1552328,88811,0.2120838526591197,0.2114302435510737,0.24162032766271047,0.23473443604958846
59,11057,"Charlotte, NC: Charlotte Douglas International",1495184,127057,1492528,127008,0.17587066207236032,0.23034543551319486,0.14710879795889925,0.19679862685815067
132,12266,"Houston, TX: George Bush Intercontinental/Houston",1489764,73502,1487707,73425,0.19001801627640352,0.25237408505890996,0.16144845725670445,0.2080081716036772
150,12889,"Las Vegas, NV: Harry Reid International",1476561,123222,1476931,123135,0.21666968042634202,0.292447777182646,0.19904721344463622,0.2817801599870061
247,14747,"Seattle, WA: Seattle/Tacoma International",1258959,107776,1257912,107615,0.1509675851239,0.17766478622327792,0.15439315309814994,0.17771686103238396
194,13487,"Minneapolis, MN: Minneapolis-St Paul International",1258810,80104,1258209,80055,0.14328453062813293,0.1700664136622391,0.1440126401893485,0.16733495721691338
83,11433,"Detroit, MI: Detroit Metro Wayne County",1244336,82421,1243794,82379,0.1564553303930771,0.1902913092537096,0.15151142391746544,0.18952645698539677
170,13204,"Orlando, FL: Orlando International",1240350,106917,1239837,106731,0.2149465876567098,0.3079398037730202,0.20348400636535285,0.2960901706158473
34,10721,"Boston, MA: Logan International",1193969,92572,1193861,92549,0.18976204574825645,0.2309661668755131,0.2146313515560019,0.24830090006375002
157,12953,"New York, NY: LaGuardia",1186059,107245,1186565,107297,0.20162909265053425,0.19767821343652384,0.22567073864474343,0.2034726040802632
93,11618,"Newark, NJ: Newark Liberty International",1159376,90909,1158606,90857,0.24432884586191192,0.26587026587026585,0.2570735867067838,0.21868430610739953
144,12478,"New York, NY: John F. Kennedy International",1063138,88007,1062282,87930,0.2049254189014032,0.2433556421648278,0.21023795941190757,0.23230979187990447
256,14869,"Salt Lake City, UT: Salt Lake City International",1062732,71821,1061780,71829,0.12785067166510466,0.18362317428050293,0.1334005161144493,0.18204346433891605
76,11278,"Washington, DC: Ronald Reagan Washington National",932706,92247,933355,92286,0.16759300358312265,0.17641766127895758,0.17314633767430399,0.17365580911514206
44,10821,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",928756,61942,928665,61873,0.2285637993186585,0.30210519518259016,0.18920278033521237,0.23726019426890566
213,14100,"Philadelphia, PA: Philadelphia International",818094,57967,817362,57927,0.17679875417739283,0.20139044628840547,0.18729767226761215,0.2316363699138571
172,13232,"Chicago, IL: Chicago Midway International",814970,55794,814886,55745,0.26298636759635324,0.2897444169623974,0.1961329560208422,0.24481119382904296
180,13303,"Miami, FL: Miami International",795624,67160,795223,67140,0.20738062200235288,0.27846932698034543,0.17338909966135285,0.23200774501042598
239,14679,"San Diego, CA: San Diego International",788673,59010,789576,59048,0.17093396122347285,0.20852397898661243,0.18785398745655896,0.23126947568080206
101,11697,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",778187,58360,777920,58416,0.223514399495237,0.336206305688828,0.21401686548745372,0.2986510545056149
272,15304,"Tampa, FL: Tampa International",672592,51277,672980,51319,0.18155583176725265,0.22573473487138482,0.19810989925406403,0.27046512987392585
32,10693,"Nashville, TN: Nashville International",625781,62108,626441,62209,0.19341750548514577,0.21852257358150318,0.19955271126889843,0.22794129466797408
73,11259,"Dallas, TX: Dallas Love Field",593964,48056,593416,48014,0.23854307668478225,0.24818961211919427,0.2010276096364102,0.23593118673720165
263,15016,"St. Louis, MO: St Louis Lambert International",554314,39822,554840,39859,0.2035777555681437,0.2334388026718899,0.1975470405882777,0.22940866554604983
211,14057,"Portland, OR: Portland International",552575,38487,552583,38501,0.13199475184364112,0.15340244757970223,0.16838918316343426,0.21079971948780551
18,10423,"Austin, TX: Austin - Bergstrom International",551446,60185,552119,60227,0.18243853432611715,0.22140068123286533,0.20173368422387203,0.2193700499775848
131,12264,"Washington, DC: Washington Dulles International",533665,32838,533675,32845,0.18198870077670448,0.18755709848346427,0.17847004262894084,0.19665093621555793
127,12191,"Houston, TX: William P Hobby",533008,35236,532758,35204,0.24012960405847567,0.22144965376319672,0.20581201971626892,0.2338370639700034
125,12173,"Honolulu, HI: Daniel K Inouye International",488602,40552,488573,40578,0.10534545499199757,0.21088972183862695,0.12004552032142586,0.1992705406870718
199,13796,"Oakland, CA: Metro Oakland International",456726,30259,456271,30213,0.200606052644255,0.226808552827258,0.20418786203813086,0.24443120511038294
169,13198,"Kansas City, MO: Kansas City International",455988,31516,456417,31547,0.16297578006438765,0.19999365401700722,0.20438327231457198,0.250134719624687
253,14831,"San Jose, CA: Norman Y. Mineta San Jose International",455428,34598,455402,34588,0.16250208594991963,0.17625296259899417,0.17954466603133057,0.2043483289001966
228,14492,"Raleigh/Durham, NC: Raleigh-Durham International",444711,38160,445468,38195,0.17669452745715758,0.20073375262054508,0.1993566316772473,0.24539861238381988
195,13495,"New Orleans, LA: Louis Armstrong New Orleans International",443704,32717,444236,32757,0.18199745776463588,0.22774092979185134,0.1985025977183299,0.25414415239490795
257,14893,"Sacramento, CA: Sacramento International",438294,34621,438545,34621,0.16289066243206615,0.18471447965107882,0.20029643480144568,0.24170301262239682
259,14908,"Santa Ana, CA: John Wayne Airport-Orange County",398346,29494,398871,29560,0.16557716156306326,0.21465382789719942,0.16771587806584085,0.20659675236806496
57,11042,"Cleveland, OH: Cleveland-Hopkins International",394073,26602,394370,26665,0.16476896412593606,0.1966393504247801,0.20086467023353705,0.2412150759422464
240,14683,"San Antonio, TX: San Antonio International",345259,25147,345688,25169,0.15840282222910917,0.1862249970175369,0.21271782647936868,0.2534467003059319
217,14122,"Pittsburgh, PA: Pittsburgh International",335432,27616,335733,27597,0.14282775644541965,0.15396871378910776,0.19456532423086204,0.2179947095698808
136,12339,"Indianapolis, IN: Indianapolis International",332756,29220,332942,29204,0.15701895683323516,0.16659822039698838,0.1994791885673781,0.22472948911108068
60,11066,"Columbus, OH: John Glenn Columbus International",311195,27053,311546,27047,0.16312922765468596,0.1630503086533841,0.20064773741277372,0.22276038007912152
181,13342,"Milwaukee, WI: General Mitchell International",302286,16398,302593,16406,0.1582673362312512,0.17691181851445298,0.19697084863166034,0.2541143484091186
69,11193,"Cincinnati, OH: Cincinnati/Northern Kentucky International",299543,25797,299935,25813,0.16446720504234785,0.18494398573477536,0.18458332638738392,0.21744857242474722
237,14635,"Fort Myers, FL: Southwest Florida International",289380,21780,289765,21789,0.17586218812633908,0.20463728191000918,0.1850292478387659,0.2446188443710129
255,14843,"San Juan, PR: Luis Munoz Marin International",254989,22139,254793,22185,0.20159300989454448,0.2814038574461358,0.2289623341300585,0.34315979265269325
43,10800,"Burbank, CA: Bob Hope",243335,19090,243678,19154,0.16400846569544045,0.1897852278679937,0.18851927543725736,0.22768090216142842
200,13830,"Kahului, HI: Kahului Airport",240206,20898,240609,20899,0.12006361206630975,0.22552397358598908,0.10501685306867158,0.16890760323460452
143,12451,"Jacksonville, FL: Jacksonville International",235100,18488,235472,18507,0.1666269672479796,0.21857421029857205,0.2007966976965414,0.260604095747555
210,14027,"West Palm Beach/Palm Beach, FL: Palm Beach International",231296,17922,231556,17950,0.21725840481460984,0.26319607186697913,0.2182020763875693,0.2807799442896936
2,10140,"Albuquerque, NM: Albuquerque International Sunport",223912,14800,224168,14817,0.17405945192754296,0.19635135135135134,0.2140046750651297,0.2361476682189377
22,10529,"Hartford, CT: Bradley International",218960,14518,219249,14525,0.15263518450858604,0.20436699269871883,0.2170728258737782,0.2590705679862306
174,13244,"Memphis, TN: Memphis International",209447,14891,209790,14890,0.15729993745434406,0.19454704183735141,0.1802802802802803,0.24358629952988584
204,13891,"Ontario, CA: Ontario International",204787,15605,205000,15617,0.16415592786651498,0.2,0.21003414634146342,0.2658000896458987
202,13871,"Omaha, NE: Eppley Airfield",201043,14557,201348,14556,0.15119153613903494,0.1748986741773717,0.20603134870969664,0.23667216268205551
42,10792,"Buffalo, NY: Buffalo Niagara International",198448,13274,198815,13306,0.16236999113117795,0.20182311285219226,0.21513467293715263,0.2545468209830152
201,13851,"Oklahoma City, OK: Will Rogers World",192700,13862,192956,13858,0.15746756616502336,0.17508296061174433,0.21756773564957815,0.22896521864626931
230,14524,"Richmond, VA: Richmond International",177087,12274,177296,12291,0.17017059411475716,0.18706208245070882,0.20618626477754715,0.24180294524448784
